De quantas maneiras diferentes o comitê organizador da Copa poderia pintar a logomarca com as cores citadas?;facil
A explicação científica que justifica essa prática se baseia na;facil
Reconhecido pela linguagem impressionista, Raul Pompeia desenvolveu-a na prosa poética, em que se observa a;facil
Que distância o motorista desatento percorre a mais do que o motorista atento, até a parada total dos carros?;facil
Hoje, sabe-se que isso nem sempre é verdade. Por quê?;facil
De acordo com a figura, que posições correspondem a dois pontos consecutivos da manteiga derretida?;facil
Para que a corrente não seja letal a uma pessoa que toca a cerca eletrificada, o gerador de tensão deve possuir uma resistência interna que, em relação à do corpo humano, é;facil
Elaborada em 1969, a releitura contida na Figura 2 revela aspectos de uma trajetória e obra dedicadas à;facil
No contexto da Primeira República no Brasil, as relações políticas descritas baseavam-se na;facil
Essa dificuldade ocorre porque o(a);facil
Com base nessas informações, quantos são os modelos distintos do brinquedo caminhão-cegonha que essa empresa poderá produzir?;facil
A bandeja a ser escolhida deverá ter uma área mínima, em centímetro quadrado, igual a;facil
A projeção ortogonal, no plano , do caminho traçado no globo pode ser representada por;facil
Nestas condições, a maior distância, em metro, que dois bombeiros poderiam ter entre eles é;facil
A reação 3 é fundamental para o contínuo funcionamento da célula solar, pois;facil
Quanto à materialização da linguagem, a apresentação de dados relativos à violência contra a mulher;facil
Chamando de X a quantidade total de funcionários da empresa, a quantia Y, em reais, que esta empresa gasta semanalmente para pagar seus funcionários é expressa por;facil
Considerando as informações do texto, qual ação representa uma estratégia de adaptação?;facil
O número de horas em que os dois reservatórios contêm a mesma quantidade de água é;facil
A fixação de moléculas de vapor de água pelos núcleos de condensação ocorre por;facil
Nesse texto, a reflexão sobre o processo criativo aponta para uma concepção de atividade poética que põe em evidência o(a);facil
A redução, em real, no preço da embalagem da polpa de morango deverá ser de;facil
A propriedade comum às estruturas que confere cor a esses compostos é a presença de;facil
Esquematicamente, o esboço do gráfico da energia cinética da criança em função de sua posição vertical na situação descrita é:;facil
No soneto de Cláudio Manuel da Costa, a contemplação da paisagem permite ao eu lírico uma reflexão em que transparece uma;facil
O gráfico da equação que o fisioterapeuta utilizou para maximizar o efeito dos exercícios é do tipo;facil
Associado ao contexto migratório contemporâneo, o conceito de hospitalidade proposto pelo autor impõe a necessidade de;facil
Em qual dos objetos a força potente é maior que a força resistente?;facil
A diferença entre as razões da altura da coluna B pela coluna A nos gráficos 1 e 2 é;facil
Qual é a probabilidade de, nesse ano, a declaração de um contribuinte ser considerada inconsistente, dado que ela era fraudulenta?;facil
A força impulsiva média gerada por esse impacto equivale ao peso de quantos tijolos iguais?;facil
Qual é a força que a fita exerce em cada uma das árvores por causa da presença da atleta?;facil
A frequência de giro do ponteiro, em RPM, é;facil
A criação da referida instituição estatal na conjuntura histórica abordada teve por objetivo;facil
Produzida no Chile, no final da década de 1970, a imagem expressa um conflito entre culturas e sua presença em museus decorrente da;facil
Qual solução deve ser usada para extração do lapachol da serragem do ipê com maior eficiência?;facil
Do ponto de vista comercial, o avanço das novas tecnologias, indicado no texto, está associado à;facil
O Texto I é a transcrição de uma entrevista concedida por uma professora de português a um programa de rádio. O Texto II é a adaptação dessa entrevista para a modalidade escrita. Em comum, esses textos;facil
Os fragmentos do pensamento pré-socrático expõem uma oposição que se insere no campo das;facil
Na imagem e no texto do romance de Marguerite Duras, os dois autorretratos apontam para o modo de representação da subjetividade moderna. Na pintura e na literatura modernas, o rosto humano deforma-se, destrói-se ou fragmenta-se em razão;facil
Em meados do século XX, o fenômeno social descrito contribuiu para o processo europeu de;facil
A conclusão correta a que o síndico deverá chegar, considerando a nova área a ser pavimentada, é a de que o material disponível em estoque;facil
A maior complexidade dos espaços urbanos contemporâneos ressaltada no texto explica-se pela;facil
Uma vez implementada, essa proposta afetaria a dinâmica do espaço urbano por reduzir a intensidade do seguinte processo:;facil
No processo eletrolítico ilustrado, o produto secundário obtido é o;facil
Quantos policiais serão necessários no início do evento para garantir a segurança?;facil
O número total de senhas possíveis para o cadastramento nesse site é dado por;facil
